,,,,,PHG470,PHG500
1150,no,12996,11235,1761,0.864496768,0.869682908
1660,no,13265,11539,1726,0.869883151,0.870261733
9726,no,12936,10935,2001,0.845315399,0.843596059
2045A,no,13379,11469,1910,0.857238957,0.85946924
48B,no,12995,11081,1914,0.852712582,0.853084983
AGS2000,yes,14148,11670,2478,0.824851569,0.823770492
AKOVA,no,13326,11432,1894,0.85787183,0.856742424
ALICE,yes,14343,13927,416,0.970996305,0.967975999
ALSEN,yes,14249,13770,479,0.966383606,0.967090029
BAKHTAWAR94,no,14323,12261,2062,0.856035747,0.866261186
BARLOW,yes,14247,13429,818,0.942584404,0.943380341
BERKUT,no,13499,11377,2122,0.842803171,0.843689895
BESS,yes,3980,3868,112,0.971859296,0.975757576
BILLINGS,yes,14314,13867,447,0.968771832,0.965940815
BRANSON,yes,14247,12316,1931,0.864462694,0.854987015
BRIGGS,yes,14280,13843,437,0.969397759,0.968992791
BYRD,yes,14214,13773,441,0.968974251,0.969286866
CALEDONIA,yes,14298,13784,514,0.964050916,0.960828204
CAP2,no,14053,11716,2337,0.833700989,0.834117144
CHAKWAL86,no,13227,11151,2076,0.84304831,0.845773416
CHINESE_SPRING,yes,14293,12979,1314,0.908066886,0.91054693
CHRIS,yes,14155,13702,453,0.967997174,0.96708254
CLARK,yes,14312,12343,1969,0.862423141,0.860812509
CLEAR_WHITE,no,13471,11299,2172,0.838764754,0.838920687
CO07W245,yes,14279,13809,470,0.96708453,0.964428261
CRETE11,no,12187,10416,1771,0.854681218,0.859080141
CRIOLLO_SANTA_IRENE,no,12248,10496,1752,0.856956238,0.856286934
DANBY,yes,14335,13757,578,0.959679107,0.960427136
DAPPS,yes,14229,13766,463,0.967460819,0.965354884
DECADE,yes,14155,13683,472,0.966654892,0.963085827
DENALI,yes,14348,13905,443,0.969124617,0.968330201
DUCLAIR,yes,14296,13515,781,0.945369334,0.947298525
DUSTER,yes,14319,13833,486,0.966059082,0.966243549
ERA,yes,14324,13825,499,0.965163362,0.964672206
EXPEDITION,yes,14341,13872,469,0.967296562,0.968301519
FALLER,yes,14175,13772,403,0.971569665,0.970756113
FLORENTINO|PI565213,no,12821,11265,1556,0.878636612,0.876319287
FORMA_VINDA_DE_VARMLAND,no,8914,7872,1042,0.883105228,0.876003165
FORTUNA,yes,14234,13713,521,0.963397499,0.960913884
FOSTER,yes,13780,12936,844,0.938751814,0.937306557
GALLAGHER,yes,14123,13424,699,0.950506266,0.94894279
GLENN,yes,14329,13660,669,0.953311466,0.951935821
GOIANA,no,12600,10742,1858,0.852539683,0.854106972
GOODSTREAK,yes,14250,13841,409,0.971298246,0.967308365
GRANDIN,yes,14218,13809,409,0.971233647,0.973927137
HATCHER,yes,14307,13796,511,0.964283218,0.962279966
IL00-8530,yes,8203,7985,218,0.973424357,0.973281968
IL02-18228,yes,6236,6055,181,0.970974984,0.971278516
IL07-20728,yes,8083,5781,2302,0.715204751,0.714645511
IL07-4415,yes,13533,12840,693,0.948791842,0.950833025
INAYAMA,no,13171,11155,2016,0.846936451,0.856487148
INGOT,yes,14306,13799,507,0.964560324,0.966929463
JAGALENE,yes,14288,13697,591,0.958636618,0.957925636
JAMESTOWN,yes,14255,13744,511,0.964152929,0.963303396
JERRY,yes,14224,13727,497,0.965059055,0.966021808
KHARKOF,yes,14232,13736,496,0.96514896,0.964140351
KLEIN_CHAMACO,no,13574,11673,1901,0.859952851,0.855452865
KS030887K-6,yes,14312,13757,555,0.961221353,0.963779747
KURD,no,7724,6780,944,0.877783532,0.88881639
KYSYLDZHA,no,12760,11124,1636,0.871786834,0.873853391
LYMAN,no,14112,12338,1774,0.874291383,0.875470092
MACE,yes,14177,13740,437,0.969175425,0.966859399
MAHLUT,no,12927,10809,2118,0.836156881,0.844487427
MARSHALL,yes,14296,13850,446,0.968802462,0.968474766
MASSEY,yes,13997,13302,695,0.950346503,0.950886184
MATTE_LUNGO,no,7653,6632,1021,0.866588266,0.860233381
MCGILL,yes,14281,13799,482,0.966248862,0.963100406
MCNEAL,no,14320,12470,1850,0.870810056,0.867296257
MG17960,no,12818,10799,2019,0.842487127,0.846791862
MN02072-7,yes,14329,12877,1452,0.898667039,0.896975623
MN03358-4,yes,14282,13820,462,0.967651589,0.967717141
MN05209,yes,14339,13775,564,0.960666713,0.960181628
MN97448,yes,14342,13801,541,0.962278622,0.961452514
MN97518,yes,14329,13911,418,0.97082839,0.968324845
MN98550-5,no,14266,12089,2177,0.847399411,0.853947553
MO080104,yes,14293,13676,617,0.956832016,0.955028675
NE05548,yes,14340,12329,2011,0.859762901,0.859553696
NE06545,yes,14350,13784,566,0.960557491,0.961302468
NORDEN,yes,14297,13785,512,0.964188291,0.964804469
NUPLAINS,yes,14325,12546,1779,0.875811518,0.87629226
OKLEE,yes,14035,13391,644,0.954114713,0.955821576
OVERLEY,yes,14314,13848,466,0.96744446,0.965644857
OXEN,yes,14329,13829,500,0.96510573,0.961905425
PARSHALL,yes,14140,13729,411,0.970933522,0.970220874
PAVON,no,13544,11708,1836,0.864441819,0.864354959
PBW343,no,13116,11060,2056,0.843244892,0.848521699
PEMBROKE,yes,14037,10425,3612,0.74268006,0.744887052
PI366716,no,13265,11455,1810,0.863550697,0.864768683
PI481718,no,13010,11157,1853,0.857571099,0.86474742
PI481923,no,13344,11503,1841,0.862035372,0.860885276
PI70613,no,14285,12484,1801,0.873923696,0.881004137
PLATTE,yes,14314,13863,451,0.968492385,0.967622378
POUBIRU,no,12580,10707,1873,0.851112878,0.85238323
RAC875,no,13574,11592,1982,0.853985561,0.863796909
RB07,yes,14317,13819,498,0.965216177,0.959675729
REEDER,no,14317,13695,622,0.956555144,0.959706191
ROANE,no,14256,12775,1481,0.896113917,0.898302707
ROBIDOUX,yes,14308,13803,505,0.96470506,0.964228436
ROLLAG,yes,14335,13895,440,0.969305895,0.9712411
RUIVO|PI185715,no,11377,9648,1729,0.848026721,0.850074437
RUSS,yes,14348,13866,482,0.966406468,0.96849296
SCALAVATIS,no,12464,10556,1908,0.846919127,0.846405751
SCARLET,no,14251,12463,1788,0.87453512,0.870222035
SCOUT66,yes,14280,13861,419,0.970658263,0.967043709
SD3851,yes,14264,13401,863,0.939498037,0.940945709
SD4181,yes,14297,12944,1353,0.905364762,0.909332401
SD4215,yes,14332,13805,527,0.963229138,0.963987183
SD4243,yes,14347,13843,504,0.964870705,0.965454799
SELECT,yes,14341,13869,472,0.967087372,0.969320876
SHIRLEY,yes,13833,12862,971,0.929805537,0.929767576
SS8641,yes,14255,12950,1305,0.908453174,0.907024068
THATCHER,yes,14235,13739,496,0.965156305,0.966858587
TOM,yes,14290,13793,497,0.965220434,0.964065996
TRAVERSE,yes,14306,13846,460,0.967845659,0.967209676
TRIBUTE,yes,14047,13265,782,0.94432975,0.945441595
TRIGO|PI477870,no,12771,10905,1866,0.853887714,0.853335424
TRUMAN,no,14174,12075,2099,0.851911951,0.850886487
TX06A001263,yes,14072,13446,626,0.955514497,0.953534636
UI_PLATINUM,yes,14293,12206,2087,0.853984468,0.855571899
USG3555,yes,13687,12871,816,0.940381384,0.940393981
VIDA,no,14300,12944,1356,0.905174825,0.908532328
VOROBEY,no,13607,11340,2267,0.833394576,0.838057879
WALWORTH,yes,14239,13800,439,0.969169183,0.969909518
WESLEY,yes,14214,13744,470,0.966934009,0.965709055
YELLOWSTONE,yes,14278,11988,2290,0.839613391,0.841737184
,,,,,0.915983568,0.916370602