HiBAP-111-PRO1945,CIMMYT_capture2023:4905617
HiBAP-114-PRO1945,CIMMYT_capture2023:5793757
HiBAP-115-PRO1945,CIMMYT_capture2023:5106304
HiBAP-116-PRO1945,CIMMYT_capture2023:7806808
HiBAP-11-PRO1945,CIMMYT_capture2023:5397748
HiBAP-128-PRO1945,CIMMYT_capture2023:6683522
HiBAP-130-PRO1945,CIMMYT_capture2023:6682171
HiBAP-131-PRO1945,CIMMYT_capture2023:6569050
HiBAP-134-PRO1945,CIMMYT_capture2023:6332122
HiBAP-135-PRO1945,CIMMYT_capture2023:6175067
HiBAP-136-PRO1945,CIMMYT_capture2023:6176368
HiBAP-137-PRO1945,CIMMYT_capture2023:6417572
HiBAP-13-PRO1945,CIMMYT_capture2023:5398160
HiBAP-140-PRO1945,CIMMYT_capture2023:6415924
HiBAP-26-PRO1945,CIMMYT_capture2023:5551750
HiBAP-44-PRO1945,CIMMYT_capture2023:6341870
HiBAP-4-PRO1945,CIMMYT_capture2023:2465
HiBAP-5-PRO1945,CIMMYT_capture2023:3895
HiBAP-6-PRO1945,CIMMYT_capture2023:16122
HiBAP-71-PRO1945,CIMMYT_capture2023:4313703
HiBAP-77-PRO1945,CIMMYT_capture2023:4755013
HiBAP-87-PRO1945,CIMMYT_capture2023:5398530
HiBAP-88-PRO1945,CIMMYT_capture2023:6178401
HiBAP-89-PRO1945,CIMMYT_capture2023:6179222
HiBAP-8-PRO1945,CIMMYT_capture2023:447647